,name,wins,ties,total_games,winrate
"10S, JS, QC",Q-J-10 straight flush,320,0,339,0.944
"JH, 9C, 10D",J-10-9 straight flush,330,3,354,0.9322
"10S, 9C, JS",J-10-9 straight flush,340,1,362,0.9392
"JC, 9D, 10H",J-10-9 straight flush,305,4,324,0.9414
"9S, JS, 10H",J-10-9 straight flush,295,1,314,0.9395
"9C, JS, 10H",J-10-9 straight flush,316,2,332,0.9518
"10S, 9D, JH",J-10-9 straight flush,316,2,332,0.9518
"10S, 9H, JH",J-10-9 straight flush,310,1,335,0.9254
"JH, 10C, 9H",J-10-9 straight flush,351,1,376,0.9335
"JH, 10C, 9D",J-10-9 straight flush,301,1,321,0.9377
"JC, 10D, 9H",J-10-9 straight flush,323,3,353,0.915
"10C, JC, 9D",J-10-9 straight flush,334,4,357,0.9356
"10S, 9H, JC",J-10-9 straight flush,326,4,349,0.9341
"9S, 10C, JS",J-10-9 straight flush,335,1,346,0.9682
"9C, JS, 10C",J-10-9 straight flush,326,1,347,0.9395
"10S, JS, 9H",J-10-9 straight flush,321,2,348,0.9224
"JH, 9H, 10D",J-10-9 straight flush,299,0,311,0.9614
"9C, 10C, JD",J-10-9 straight flush,320,3,344,0.9302
"JH, 9C, 10H",J-10-9 straight flush,333,0,349,0.9542
"9S, 10C, JC",J-10-9 straight flush,294,1,316,0.9304
"10C, JS, 9D",J-10-9 straight flush,320,1,338,0.9467
"JS, 10D, 9H",J-10-9 straight flush,348,2,368,0.9457
"9C, JS, 10D",J-10-9 straight flush,328,4,352,0.9318
"9S, 10C, JH",J-10-9 straight flush,304,2,333,0.9129
"9S, JH, 10S",J-10-9 straight flush,298,2,325,0.9169
"JS, 9D, 10H",J-10-9 straight flush,313,2,329,0.9514
"9C, JD, 10H",J-10-9 straight flush,304,2,325,0.9354
"9S, JC, 10H",J-10-9 straight flush,327,0,348,0.9397
"9D, JD, 10H",J-10-9 straight flush,305,2,324,0.9414
"9H, JD, 10H",J-10-9 straight flush,314,3,335,0.9373
"JH, 10D, 9D",J-10-9 straight flush,303,3,321,0.9439
"10S, 9C, JH",J-10-9 straight flush,312,2,326,0.9571
"10S, 9H, JD",J-10-9 straight flush,308,0,330,0.9333
"10S, JD, 9D",J-10-9 straight flush,314,0,330,0.9515
"10C, JD, 9D",J-10-9 straight flush,299,0,310,0.9645
"10C, 9H, JD",J-10-9 straight flush,342,0,366,0.9344
"9H, JC, 10H",J-10-9 straight flush,321,0,340,0.9441
"10S, 9C, JD",J-10-9 straight flush,342,2,376,0.9096
"9S, JC, 10S",J-10-9 straight flush,307,0,321,0.9564
"10S, JS, 9D",J-10-9 straight flush,325,1,347,0.9366
"10C, JS, 9H",J-10-9 straight flush,328,0,346,0.948
"JS, 10D, 9D",J-10-9 straight flush,317,0,333,0.952
"9C, JD, 10D",J-10-9 straight flush,347,2,371,0.9353
"9S, 10H, JH",J-10-9 straight flush,296,3,319,0.9279
"9S, JC, 10D",J-10-9 straight flush,319,1,340,0.9382
"9S, JD, 10D",J-10-9 straight flush,291,0,307,0.9479
"9C, JC, 10D",J-10-9 straight flush,334,2,359,0.9304
"JH, 9D, 10H",J-10-9 straight flush,331,4,352,0.9403
"JC, 10D, 9D",J-10-9 straight flush,336,0,357,0.9412
"9S, JS, 10D",J-10-9 straight flush,343,0,364,0.9423
"10S, JC, 9D",J-10-9 straight flush,333,1,349,0.9542
"10C, JC, 9H",J-10-9 straight flush,320,2,344,0.9302
"9H, JS, 10H",J-10-9 straight flush,315,0,338,0.932
"9S, JD, 10S",J-10-9 straight flush,312,0,338,0.9231
"10S, 9C, JC",J-10-9 straight flush,339,2,354,0.9576
"9S, 10C, JD",J-10-9 straight flush,289,2,315,0.9175
"9C, JC, 10H",J-10-9 straight flush,302,0,325,0.9292
"JH, 9C, 10C",J-10-9 straight flush,337,0,354,0.952
"JD, 10D, 9H",J-10-9 straight flush,342,2,357,0.958
"9S, 10D, JH",J-10-9 straight flush,308,3,327,0.9419
"9S, JD, 10H",J-10-9 straight flush,316,3,338,0.9349
"10S, 9C, 8D",10-9-8 straight flush,305,2,330,0.9242
"9H, 8C, 10H",10-9-8 straight flush,305,0,329,0.9271
"9S, 8S, 10H",10-9-8 straight flush,300,1,331,0.9063
"10S, 9H, 8C",10-9-8 straight flush,318,1,339,0.9381
"8H, 9H, 10D",10-9-8 straight flush,305,3,334,0.9132
"9C, 10H, 8D",10-9-8 straight flush,319,2,343,0.93
"8H, 10H, 9C",10-9-8 straight flush,312,4,345,0.9043
"9H, 10D, 8D",10-9-8 straight flush,312,3,336,0.9286
"10C, 8C, 9D",10-9-8 straight flush,323,4,350,0.9229
"9S, 8H, 10C",10-9-8 straight flush,342,2,372,0.9194
"9S, 10C, 8S",10-9-8 straight flush,319,3,345,0.9246
"9S, 10C, 8D",10-9-8 straight flush,331,1,354,0.935
"8C, 9D, 10H",10-9-8 straight flush,287,2,317,0.9054
"9S, 8C, 10H",10-9-8 straight flush,282,2,307,0.9186
"9C, 8C, 10H",10-9-8 straight flush,332,2,357,0.93
"10S, 9H, 8D",10-9-8 straight flush,294,3,313,0.9393
"10C, 9D, 8D",10-9-8 straight flush,329,2,365,0.9014
"8H, 10C, 9D",10-9-8 straight flush,336,2,360,0.9333
"8S, 9H, 10D",10-9-8 straight flush,316,3,343,0.9213
"10S, 8H, 9H",10-9-8 straight flush,296,0,334,0.8862
