,name,wins,ties,total_games,winrate
"3S, 4D, 2C",4-3-2 straight flush,1697,6,1893,0.8965
"4C, 2H, 3S",4-3-2 straight flush,1570,8,1771,0.8865
"2D, 3H, 4D",4-3-2 straight flush,1555,4,1759,0.884
"4C, 3S, 2S",4-3-2 straight flush,1674,6,1876,0.8923
"4H, 3C, 2D",4-3-2 straight flush,1545,5,1743,0.8864
"4C, 2H, 3H",4-3-2 straight flush,1611,7,1818,0.8861
"3C, 2H, 4D",4-3-2 straight flush,1575,7,1769,0.8903
"2D, 4S, 3H",4-3-2 straight flush,1610,7,1794,0.8974
"2H, 3S, 4S",4-3-2 straight flush,1625,4,1821,0.8924
"4H, 3C, 2S",4-3-2 straight flush,1575,5,1769,0.8903
"2H, 3D, 4D",4-3-2 straight flush,1581,6,1787,0.8847
"3D, 4S, 2S",4-3-2 straight flush,1648,11,1899,0.8678
"4C, 3C, 2D",4-3-2 straight flush,1667,5,1867,0.8929
"4H, 3C, 2C",4-3-2 straight flush,1638,5,1845,0.8878
"3S, 4S, 2D",4-3-2 straight flush,1600,7,1806,0.8859
"2H, 3D, 4S",4-3-2 straight flush,1574,10,1768,0.8903
"2H, 4S, 3H",4-3-2 straight flush,1601,6,1810,0.8845
"4C, 3D, 2D",4-3-2 straight flush,1576,8,1791,0.88
"4H, 3D, 2C",4-3-2 straight flush,1618,6,1796,0.9009
"4C, 2D, 3H",4-3-2 straight flush,1552,5,1726,0.8992
"2S, 3D, 4D",4-3-2 straight flush,1556,7,1776,0.8761
"4H, 3H, 2S",4-3-2 straight flush,1635,9,1849,0.8843
"4C, 3D, 2S",4-3-2 straight flush,1662,7,1862,0.8926
"3C, 4S, 2D",4-3-2 straight flush,1619,10,1809,0.895
"2H, 3H, 4D",4-3-2 straight flush,1644,7,1851,0.8882
"4C, 3S, 2D",4-3-2 straight flush,1667,7,1872,0.8905
"4H, 3S, 2C",4-3-2 straight flush,1563,7,1779,0.8786
"4C, 3D, 2C",4-3-2 straight flush,1602,3,1796,0.892
"4H, 2D, 3H",4-3-2 straight flush,1556,4,1775,0.8766
"4H, 3D, 2D",4-3-2 straight flush,1593,3,1799,0.8855
"3C, 2H, 4S",4-3-2 straight flush,1576,3,1766,0.8924
"4H, 3S, 2S",4-3-2 straight flush,1559,6,1767,0.8823
"4H, 3H, 2C",4-3-2 straight flush,1617,6,1815,0.8909
"2H, 3S, 4D",4-3-2 straight flush,1720,4,1913,0.8991
"4C, 3S, 2C",4-3-2 straight flush,1653,8,1857,0.8901
"4H, 3S, 2D",4-3-2 straight flush,1613,9,1798,0.8971
"4C, 3C, 2S",4-3-2 straight flush,1584,7,1782,0.8889
"4S, 3H, 2S",4-3-2 straight flush,1633,8,1821,0.8968
"4C, 2H, 3C",4-3-2 straight flush,1722,4,1921,0.8964
"4C, 3H, 2C",4-3-2 straight flush,1620,6,1833,0.8838
"3C, 4D, 2C",4-3-2 straight flush,1606,6,1808,0.8883
"3S, 4S, 2C",4-3-2 straight flush,1614,6,1812,0.8907
"KS, JS, AS",A-top flush,1664,0,1841,0.9039
"AH, KH, JH",A-top flush,1550,0,1762,0.8797
"KD, JD, AD",A-top flush,1617,0,1819,0.8889
"AC, KC, JC",A-top flush,1604,0,1803,0.8896
"KS, 10S, AS",A-top flush,1637,0,1827,0.896
"AH, KH, 10H",A-top flush,1626,0,1825,0.891
"KD, 10D, AD",A-top flush,1608,0,1795,0.8958
"10C, AC, KC",A-top flush,1622,0,1859,0.8725
"KS, 9S, AS",A-top flush,1683,0,1861,0.9044
"AH, KH, 9H",A-top flush,1603,0,1810,0.8856
"KD, AD, 9D",A-top flush,1592,0,1781,0.8939
"9C, AC, KC",A-top flush,1556,0,1744,0.8922
"KS, 8S, AS",A-top flush,1594,0,1795,0.888
"AH, KH, 8H",A-top flush,1607,0,1818,0.8839
"8D, KD, AD",A-top flush,1650,0,1866,0.8842
"AC, KC, 8C",A-top flush,1597,0,1814,0.8804
"KS, 7S, AS",A-top flush,1596,0,1823,0.8755
"AH, KH, 7H",A-top flush,1607,0,1796,0.8948
"7D, KD, AD",A-top flush,1576,0,1780,0.8854
"7C, AC, KC",A-top flush,1627,0,1831,0.8886
